title,language,issn,issn2
african journal of education and social sciences,Text in English,2415-0770,NA
the african journal of technical and vocational education training,Text in English,2415-2145,NA
kenyan journal of nursing midwifery,Text in English,2518-8631,NA
journal of management and business administration,Text in English,2519-0016,NA
mara research journal of information science and technology,Text in English,2518-8844,NA
pharmjournal,Text in English,2519-0458,NA
mara research journal of humanities social sciences,Text in English,2519-1489,NA
mara research journal of business management,Text in English,2519-1381,NA
african journal of computing and information systems,Text in English,2519-5875,NA
international journal of innovations business and management,Text in English,2519-5018,NA
africa habitat review journal,Text in English,2519-7851,2524-1354
international academic journal of information sciences and project management,Text in English,2519-7711,NA
international academic journal of law and society,Text in English,2519-772X,NA
international journal of management and leadership studies,Text in English,2523-6016,2311-7575
international journal of education management and administration,Text in English,2519-9544,NA
international journal of finance,Text in English,2520-0852,NA
journal of business and strategic management,Text in English,2520-0402,NA
kumekucha,Text in English,2410-4493,NA
mara research journal of kiswahili,Text in English,2520-0577,NA
good shepherd,Text in English,2520-355X,NA
the international journal of development dialogue,Text in English,2520-3479,NA
international journal of supply chain and logistics,Text in English,2520-3983,NA
nairobi journal of humanities and social sciences,Text in English,2520-4009,2523-0948
human resource and leadership journal,Text in English,2520-4661,NA
journal of education and practice,Text in English,2520-467X,NA
international academic journal of arts and humanities,Text in English,2520-4688,NA
journal of accounting,Text in English,2520-7466,NA
journal of agricultural policy,Text in English,2520-7458,NA
journal of african theatre film and media discourse,Text in English,2520-7210,NA
journal of research innovation and implications in education,Text in English,2520-7504,NA
journal of entrepreneurship and project management,Text in English,2520-9116,NA
africa international journal of multidisciplinary research,Text in English,2523-9422,2523-9430
international journal of business management and finance,Text in English,2616-1818,NA
international journal of business management and processes,Text in English,2616-3209,NA
journal of entrepreneurship project management,Text in English,2616-8464,NA
journal of technology and socioeconomic development,Text in English,2223-9227,2616-9614
international journal of finance accounting and economics,Text in English,2617-135X,NA
journal of international business innovation and strategic management,Text in English,2617-1805,NA
international journal of social and development concerns,Text in English,2524-1478,NA
african journal of commercial law,Text in English,2706-7661,NA
tangaza journal of theology and mission,Text in English,2411-233X,NA
international journal of research in management and social sciences,Text in English,2411-6629,NA
the east and central africa medical journal,Text in English,2078-5909,NA
international journal of social science management and entrepreneurship,Text in English,2411-7323,NA
international journal of social science and information technology,Text in English,2412-0294,NA
african journal of cooperative development and technology,Text in English,2411-6645,NA
journal of tourism hospitality and sports,Text in English,2312-5187,2312-5179
africa journal of technical and vocational education and training,Text in English,2413-984X,2518-2722
african business and management research journal,Text in English,2518-0312,NA
african journal of agriculture and environment,Text in English,2518-0347,NA
african journal of education and human development,Text in English,2518-0304,NA
african journal of engineering it and telecommunication research,Text in English,2518-0339,NA
african journal of media and communication studies,Text in English,2518-0320,NA
african journal of medicine and health sciences research,Text in English,2518-0355,NA
current issues in african tourism research,Text in English,2518-0363,NA
international academic journal of economics and finance,Text in English,2518-2366,NA
international academic journal of human resource and business administration,Text in English,2518-2374,NA
international academic journal of information systems and technology,Text in English,2518-2390,NA
international academic journal of innovation leadership and entrepreneurship,Text in English,2518-2382,NA
international academic journal of procurement and supply chain management,Text in English,2518-2404,NA
international academic journal of social sciences and education,Text in English,2518-2412,NA
african multidisciplinary journal of research,Text in English,2518-2978,2518-2986
african development finance journal,Text in English,2522-3186,NA
journal of nutrition and dietetics,Text in English,2415-5195,NA
african journal of health information systems,Text in English,2415-5268,NA
international journal of applied computer sciences,Text in English,2522-6258,NA
journal of research in open distance and elearning,Text in Spanish | Text in French | Text in English,2522-6134,NA
international journal of transformational development and research,Text in English,2522-2473,NA
the annals of african surgery,Text in English,1999-9674,2523-0816
journal of climate change and sustainability,Text in English,2523-0913,NA
mara international journal of scientific research publications,Text in English,2523-1456,NA
mara international journal of social sciences research publications,Text in English,2523-1464,NA
african journal of project planning and management,Text in English,2306-594X,NA
journal of popular education in africa,Text in English,2523-2800,NA
idis journal of international studies and diplomacy,Text in English,2415-024X,NA
international academic journal of health medicine and nursing,Text in English,2523-5508,NA
journal of african interdisciplinary studies,Text in English,2523-6725,NA
mara research journal of medicine health sciences,Text in English,2523-5680,NA
pamj clinical medicine,Text in English,2707-2797,NA
pan african medical journal one health,Text in French | Text in English,2707-2800,NA
international journal of health sciences,Text in English,2710-2564,NA
international journal of health medicine and nursing practice,Text in English,2710-1150,NA
iar journal of forensic medicine and anatomy,Text in English,2789-6110,2789-6129
iar journal of medical sciences,Text in English,2708-3594,NA
iar journal of advances in crop science and technology,Text in English,2789-5955,2789-5963
iar journal of anaesthesiology and critical care,Text in English,2709-1872,2709-1880
iar journal of agricultural science and food research,Text in English,2789-5971,2789-598X
iar journal of agriculture research and life sciences,Text in English,2708-5090,2708-5104
iar journal of business management,Text in English,2708-5139,2708-5147
iar journal of clinical medical biochemistry,Text in English,2789-5998,2789-6005
iar journal of clinical research,Text in English,2789-6056,2789-6064
iar journal of engineering and technology,Text in English,2708-5155,2708-5163
iar journal of entrepreneurship innovation design thinking,Text in English,2709-9520,2709-9539
iar journal of health care and prevention,Text in English,2789-603X,2789-6048
iar journal of humanities and cultural studies,Text in English,2709-3328,2709-3336
iar journal of humanities and social science,Text in English,2708-6259,2708-6267
iar journal of medical case reports,Text in English,2709-3220,2709-3239
iar journal of medicine and surgery research,Text in English,2709-1899,2709-1902
iar journal of parasitology infectious disease,Text in English,2789-6072,2789-6080
iar journal of pharmacy,Text in English,2709-9504,2709-9512
iar journal of tourism and business management,Text in English,2789-6013,2789-6021
iarmedical series,Text in English,2709-3247,2709-3255
international academic journal of advanced practices in nursing,Text in English,2709-3263,2709-3271
international academic journal of applied biomedical sciences,Text in English,2709-328X,2709-3298
international academic journal of education literature,Text in English,2708-5112,2708-5120
international academic journal of law,Text in English,2709-9482,2709-9490
international academic journal of nutrition food sciences,Text in English,2709-9466,2709-9474
international academic research journal of internal medicine public health,Text in English,2709-3301,2709-331X
international academic research journal of surgery,Text in English,2789-6099,2789-6102
scientific research journal of clinical and medical sciences,Text in English,2788-8843,2788-8851
scientific research journal of review of public administration and management,Text in English,2788-8827,2788-8835
lesotho law journal,Text in English,0255-6472,NA
libyan journal of agriculture,Text in English,1010-3740,NA
review of southern african studies,Text in English,1024-4190,NA
samsa journal of pure and applicable mathematics,Text in English,1993-8594,NA
open veterinary journal,Text in English,2218-6050,2226-4485
international journal of english language and translation studies,NA,2308-5460,NA
cuttington university journal of liberal arts and social sciences,Text in English,2313-0547,2313-3333
altaqat alsamsiyyat waaltanmiyyat almustadamat,Text in Arabic | Text in English,2411-9636,NA
solar energy and sustainable development,Text in Arabic | Text in English,2414-6013,NA
magallat alulum albahtat waaltatbiqiyyat,Text in Arabic | Text in English,2708-8251,2521-9200
almukhtar journal of sciences,Text in Arabic | Text in English,2617-2186,2617-2178
reserve bank of malawi financial and economic review,Text in English,0376-5725,NA
society of malawi journal,Text in English,0037-993X,NA
etudes maliennes,Text in French,0378-2034,NA
malawi journal of science and technology,Text in English,1019-7079,NA
nyala,Text in English,0251-1924,NA
malawi journal of social science,Text in English,1028-298X,NA
malawi journal of science,Text in English,null,NA
mauritius institute of education journal,Text in English,null,NA
uma students law journal,Text in English,null,NA
journal of humanities,Text in French | Summaries in English | Text in English,1016-0728,NA
journal of mauritian studies,Text in French | Text in English,1013-0152,NA
religion in malawi,Text in English,null,NA
malawi medical journal,Text in English,1995-7262,1995-7270
international journal of computer science issues,Text in English,1694-0784,1694-0814
malawi journal of aquaculture and fisheries,Text in English,1997-0455,NA
mali medical,Text in French,0464-7874,1993-0836
malawi journal of agriculture natural resources and development studies,Text in English,2412-2505,NA
university of mauritius faculty of engineering research bulletin,Text in English,1694-2752,1694-2760
international journal of strategic management,Text in English,1694-2728,1694-268X
international journal of learning teaching and educational research,Text in English,1694-2116,1694-2493
african journal of special and inclusive education,Text in English,2521-8239,2521-8131
international journal of financial management and reporting analysis,Text in English,1694-3139,1694-366X
international journal of human resource development studies,Text in English,1694-3120,1694-349X
international journal of public administration and policy research,Text in English,1694-3147,1694-352X
journal of indian ocean rim studies,Text in English,1694-3317,NA
revue malienne dinfectiologie et de microbiologie,Text in French | Text occasionally in English,1987-0876,NA
journal of computing research and innovation,Text in English,2600-8793,NA
revue de geographie du maroc,Summaries in French | Text in French | Summaries in Arabic | Summaries in English,0035-1156,NA
revista medica de mocambique,Text in Portuguese,0254-5705,NA
institut scientifique bulletin section sciences de la terre,Text in French,1114-6834,2458-7184
institut scientifique bulletin section sciences de la vie,Text in French,1114-8500,2458-7176
e ti,Text in French,1114-8802,NA
les technologies de laboratoire,Text in French,1114-9981,NA
journal of materials and environmental science,Text in French | Text in English,2028-2508,NA
remise,Text in French | Text in English,2028-0351,NA
international journal of innovation and applied studies,NA,2028-9324,NA
mediterranean journal of chemistry,Text in French,2028-3997,NA
revue marocaine des sciences agronomiques et veterinaires,Text in French,2028-991X,NA
integrative journal of medical sciences,Text in English,2658-8218,NA
revista cientifica de uem serie ciencias agronimicas florestais e veterinarias,Text in Portuguese,2411-0760,NA
revista mocambicana de ciencias de saude,Text in Portuguese,2311-3308,NA
udziwi,Text in Portuguese,2518-2242,NA
alternatives rurales,Text in French,2421-8928,2421-9037
journal of medical and surgical research,Text in English,2351-8200,NA
kulambela,Text in Portuguese,2518-4466,NA
revista cientifica do isctac,Text in Portuguese,2519-7207,NA
revista comunicacao e sociedade,Text in Portuguese,2519-7339,2519-7347
ecos do chiveve,Text in Portuguese,2521-2109,NA
journal of water and environmental sciences,Text in Multiple languages,2509-0445,NA
khindlimuka,Text in Portuguese,2521-2222,NA
journal of water science environment technologies,Text in French | Text in English,2508-9250,NA
revue marocaine de recherche en management et marketing,Text in French,2028-5175,2458-665X
african journal of governance and development,Text in English,2218-5615,2616-9045
applied journal of environmental engineering science,Text in English,2509-2065,NA
the journal of quality in education,Text in French | Text in English,2028-1897,NA
journal of applied surfaces and interfaces,Text in English,2550-4800,NA
journal marocain de chimie heterocyclique,Text in French | Text in English,2605-5996,NA
moroccan journal of quantitative and qualitative research,Text in French | Text in English,2665-8623,NA
revue internationale du marketing et management strategique,Text in French | Text in English,2665-7341,NA
moroccan journal of pure and applied analysis,Text in English,2351-8227,2605-6364
african journal on land policy and geospatial sciences,Text in French | Text in English,2657-2664,NA
ewash ti,Text in French | Text in English,2509-1069,NA
revue economie gestion et societe,Text in French,2458-6250,NA
revue des etudes mutidisciplinaires en sciences economiques et sociales,Text in French | Text in Arabic | Text in English,2489-2068,NA
arabian journal of medicinal and aromatic plants,Text in French | Text in English,2458-5920,NA
african and mediterranean journal of architecture and urbanism,Text in French | Text in Arabic | Text in English,2665-7953,NA
revue africaine de management,Text in French | Text in English,2335-9811,NA
societe marocaine dophtalmologie journal,Text in French,2550-3987,2658-851X
revue marocaine de lentrepreneuriat de linnovation et du management,Text in French | Text in Arabic | Text in English,2509-0429,NA
journal deconomie de management de environnement et de droit,Text in French | Text in Arabic | Text in English,2605-6461,NA
international journal of innovation and scientific research,Text in English,2336-0046,NA
revue des langues cultures et societes,Text in French,2550-651X,NA
international journal of accounting finance auditing management and economics,Text in French | Text in English,2658-8455,NA
international journal of information science and technology,Text in English,2550-5114,NA
reperes et perspectives economiques,Text in French | Text in Arabic | Text in English,2509-0399,NA
recherches et applications en finance islamique,Text in French | Text in Arabic | Text in English,2509-0224,NA
african agri magazine,Text in French,2794-1051,NA
namibia scientific society journal,Text in German | Text in English,1018-7677,NA
eubios journal of asian and international bioethics,Text in English,2350-3106,NA
namibia development journal,Text in English,1995-4735,NA
nawa,Text in English,1993-3835,NA
international science and technology journal of namibia,Text in English,2026-7673,NA
journal of studies in humanities and social sciences,Text in English,2026-7215,2026-8637
julace,Text in English,2026-8297,2026-7541
namibia cpd journal for educators,Text in English,2026-772X,2026-8610
madoqua,Text in English,null,NA
family law,Text in English,2542-5242,NA
nigerian journal of forestry,Text in English,0374-9584,NA
ife african studies,Text in English,0331-0191,NA
nigerian nurse,Text in English,0331-4448,NA
nigerian journal of entomology,Text in English,0331-0094,NA
african journal of academic librarianship,Summaries in French | Text in English,0189-6709,NA
west african journal of sociology and political science,Text in English,0308-4450,NA
west african journal of modern languages,Text in English,0331-0531,NA
african crusader,Text in English,null,NA
ahmadu bello university centre of islamic legal studies journal,Text in English,0065-468X,NA
nigeria educational forum journal,Text in English,0189-2916,NA
black orpheus,Text in English,0067-9100,NA
theses and dissertations accepted for higher degrees in nigerian universities,Text in English,0082-4100,NA
university geographer,Text in English,0083-3975,NA
west african journal of archaeology,Text in French | Text in English,0331-3158,NA
west african religion,Text in English,0083-8187,NA
ife journal of agriculture,Text in English,0331-6351,NA
nigerian journal of international affairs,Text in English,0331-3646,NA
nsukka library notes,Text in English,0331-1481,NA
ife journal of history,Text in English,1116-4689,2504-8899
west african journal of pharmacology and drug research,Text in English,0303-691X,NA
nigerian journal of political science,Text in English,0331-8524,NA
nigerian forum,Text in English,0189-0816,NA
nigerian institute of social and economic research research for development,Text in English,0189-0085,NA
nigeria society of physiotherapy journal,Text in English,0331-3735,NA
samaru journal of agricultural research,Text in English,0331-7285,NA
nigeria national animal production research institute journal,Text in English,0189-0514,NA
nigeria work in progress,Text in English,null,NA
african journal of biblical studies,Text in English,0795-7602,NA
medipharm medical journal,Text in English,0794-3733,NA
west african science association journal,Text in English,0043-3020,NA
nigerian current law review,Text in English,0189-207X,NA
african journal of genetics,Text in English,0795-6762,NA
obafemi awolowo university law journal,Text in English,null,NA
apri journal,Text in English,null,NA
journal of english studies,Text in English,0189-6652,NA
saiwa,Text in English,0795-2864,NA
nigerian library and information science review,Text in English,0189-4412,NA
lagos education review,Text in English,0331-9237,NA
zariya veterinarian,Text in English,0794-5086,NA
tropical freshwater biology,Text in English,0795-0101,NA
college press annual lecture series,Text in English,null,NA
asia africa forum,Text in English,null,NA
african journal of international affairs development,Text in English,1117-272X,NA
tropical veterinarian,Text in English,0794-4845,NA
african journal of library archives and information science,Text in English,0795-4778,NA
nse technical transactions,Text in English,null,NA
journal of nigerian languages and literatures,Text in English,0943-1640,NA
nigerian journal of animal production,Text in English,0331-2062,NA
ife psychologia,Text in English,1117-1421,NA
apa,Text in English,null,NA
africa online inasp london,Text in English,null,NA
journal of business social studies,Text in English,null,0021-9428
bmj nigerian edition,Text in English,1118-4485,NA
bmj west african edition,Text in English,1119-2984,NA
journal africain de genetique,Text in French,null,NA
the literary digest,Text in English,null,NA
african journal of reproductive health,Text in French | Text in English,1118-4841,NA
global journal of pure and applied sciences,Text in English,1118-0579,NA
nigerian journal of policy and strategy,Text in English,null,NA
bulletin of social and behavioural sciences,NA,2276-8432,NA
research journal of peace and conflict studies,Text in English,2276-8416,NA
african journal of social sciences,Text in English,null,NA
educational research review,Text in English,null,NA
international journal of biochemistry and biotechnology,Text in English,2169-3048,NA
international journal of medicinal plant research,Text in English,2169-303X,NA
scholarly journal of agricultural science,Text in English,2276-7118,NA
international journal of economic development research and investment,Text in English,2141-6729,NA
journal of environmental issues and agriculture in developing countries,Text in English,2141-2731,NA
interdisciplinary academic essays,Text in French | Text in German | Text in Ukrainian | Text in English | Text in Russian,2360-7718,NA
international journal of innovative healthcare research,Text in English,null,2354-2950
elite research journals of clinical pharmacy medicine and medical sciences,Text in English,2384-8014,NA
african journal of wood science and forestry,Text in English,2375-0979,NA
journal of experimental research,Text in English,2315-9650,NA
pyrex journal of medicine and medical services,Text in English,2579-1230,NA
pyrex journal of research in environmental studies,Text in English,2579-1257,NA
idosr journal of biology chemistry and pharmacy,Text in English,2579-0730,NA
idosr journal of science and technology,Text in English,2579-079X,NA
idosr journal of current issues in social sciences,Text in English,2579-0765,NA
idosr journal of biochemistry biotechnology and allied fields,Text in English,2579-0811,NA
idosr journal of current issues in arts and humanities,Text in English,2579-0757,NA
idosr journal of experimental science,Text in English,2579-0781,NA
medpulse international journal of orthopedics,Text in English,2579-0889,NA
medpulse international journal of psychology,Text in English,2579-0919,NA
medpulse international journal of forensic medicine,Text in English,2579-0935,NA
medpulse international journal of ear nose and throat,Text in English,2579-0854,NA
medpulse international journal of gynaecology,Text in English,2579-0870,NA
medpulse international journal of pediatrics,Text in English,2579-0897,NA
medpulse international journal of dentistry,Text in English,2579-1125,NA
medpulse international journal of community medicine,Text in English,2579-0862,NA
medpulse international journal of anaesthesia,Text in English,2579-0900,NA
medpulse international journal of physiotherapy,Text in English,2579-1133,NA
medpulse international journal of radiology,Text in English,2579-0927,NA
ewemen journal of arts and sociology,Text in English,2579-0978,NA
ewemen journal of petrochemical research and innovation,Text in English,2579-096X,NA
international journal of medical evaluation and physical report,Text in English,2695-2181,2579-0498
research journal of humanities and cultural studies,Text in English,2695-2467,2579-0528
world journal of entrepreneurial development studies,Text in English,2695-2483,2579-0544
journal of law and global policy,Text in English,2695-2424,2579-051X
research journal of pure science and technology,Text in English,2695-2696,2579-0536
african journal of history and archaeology,Text in English,2695-1851,2579-048X
international journal of religion and cultural practice,Text in English,2695-219X,2579-0501
international journal of scientific research in education studies and social development,Text in English,2579-1052,2579-1060
international journal of scientific research in social science and management studies,Text in English,2579-101X,2579-1028
international journal of scientific research in humanities legal studies and international relations,Text in English,2579-0986,2579-0994
international journal of scientific research in technology applied sciences and health services,Text in English,2579-1044,NA
akwapoly journal of communication and scientific research,Text in English,2616-0773,NA
idosr journal of computer and applied sciences,Text in English,2579-0803,NA
idosr journal of arts and humanities,Text in English,2579-0773,NA
idosr journal of banking economics and social sciences,Text in English,2579-082X,NA
imt international journal of the arts and sciences,Text in English,2579-1362,NA
international journal of communication,Text in English,1597-4324,NA
fupre journal of scientific and industrial research,Text in English,2579-1184,2579-1192
tropical journal of natural product research,Text in English,2616-0684,2616-0692
the information technologist,Text in English,1597-4316,NA
annals of health research,Text in English,2536-6149,NA
clinical review and opinions,Text in English,2141-2553,NA
international journal of computer engineering research,Text in English,2141-6494,NA
international journal of educational administration and policy studies,Text in English,2141-6656,NA
journal of dryland agriculture,Text in English,2476-8650,NA
journal of land management and appraisal,Text in English,2354-1741,NA
journal of medical laboratory and diagnostics,Text in English,2141-2618,NA
journal of neuroscience and behavioural health,Text in English,2141-2286,NA
ibom medical journal,Text in English,1597-7188,NA
journal of nigerian society of physical sciences,Text in English,2714-4704,2714-2817
sky journal of agricultural research,Text in English,2315-8751,NA
sky journal of business administrative and management research,Text in English,2315-8778,NA
sky journal of medicinal plant research,Text in English,2315-8786,NA
sky journal of medicine and medical science,Text in English,2315-8808,NA
sky journal of microbiological research,Text in English,2315-876X,NA
sky journal of soil science and environmental management,Text in English,2315-8794,NA
international journal of peace and conflict studies,Text in English,2354-1598,2346-7258
international journal of capacity building in education and management,Text in English,2346-7231,NA
nigerian mathematical society journal,Text in English,null,NA
nigerian food journal,Text in English,null,NA
african association of physiological sciences journal,Text in English,2315-9987,2449-108X
nigerian journal of chest diseases,Text in English,2408-7386,NA
pencil publication of physical sciences and engineering,Text in English,2408-7491,NA
pencil publication of social sciences,Text in English,2408-7564,NA
scsr journal of agribusiness,Text in English,2384-5325,NA
scsr journal of development,Text in English,2384-5341,NA
scsr journal of management and marketing,Text in English,2384-535X,NA
west african journal of business and management sciences,Text in English,2384-5104,NA
world journal of biomedical research,Text in English,2384-5805,NA
international journal of ecology and ecosolution,Text in English,2437-1327,NA
international journal of ethnomedicine and pharmacognosy,Text in English,2437-1262,2437-1254
international journal of moringa and nutraceutical research,Text in English,2437-1955,NA
intraspecific journal of biochemistry and biotechnology,Text in English,2437-1580,NA
journal of public administration and personnel management,Text in English,2437-2048,NA
journal of trends in social networks and human factor and ergonomics,Text in English,2437-2056,NA
umudike journal of engineering and technology,Text in English,2545-5257,NA
academic web journal of agricultural research,Text in English,2545-4994,NA
academic web journal of medical science,Text in English,2545-4986,NA
african journal of theory and practice of educational assessment,Text in English,2545-5834,NA
annals of clinical sciences,Text in English,2545-5419,NA
cach journal of humanities and cultural studies,Text in English,2545-5540,NA
card international journal of educational research and managerial technology,Text in English,2545-5893,NA
card international journal of management studies business and entrepreneurship research,Text in English,2545-5907,2545-5885
fuw journal of agriculture and life sciences,Text in English,2545-5141,2545-515X
international journal of academic research and innovation,Text in English,2545-5214,NA
international journal of marketing and communication studies,Text in English,2695-2173,2545-5273
international journal of academy of engineering research and theory,Text in English,2545-5931,NA
international journal of advanced geotechnic and impact engineering,Text in English,2545-5559,NA
international journal of advanced multidisciplinary academic research and development,Text in English,2545-5354,NA
international journal of advanced structural and robotic engineering,Text in English,2545-5656,NA
international journal of chemistry and chemical processes,Text in English,2695-1916,2545-5265
international journal of computer science and mathematical theory,Text in English,2695-1924,2545-5699
international journal of economics and financial management,Text in English,2695-1932,2545-5966
international journal of english language and communication studies,Text in English,2695-2157,2545-5702
international journal of health and pharmaceutical research,Text in English,2695-2165,2545-5737
international journal of petro chemical and agro allied research,Text in English,2545-5923,NA
journal of biology and genetic research,Text in English,2695-222X,2545-5710
journal of business and african economy,Text in English,2695-2238,2545-5281
journal of engineering and applied disciplines,Text in English,2545-5222,NA
journal of humanities and social policy,Text in English,2695-2416,2545-5729
journal of research in science education,Text in English,2545-5788,NA
lajast engineering science and technology,Text in English,2545-5583,NA
lajast environmental sciences,Text in English,2545-5605,NA
lajast humanities and social sciences,Text in English,2545-5591,NA
african journal of criminal law and jurisprudence,Text in English,2550-746X,NA
idosr journal of applied sciences,Text in English,2550-7931,NA
idosr journal of arts and management,Text in English,2550-7974,NA
idosr journal of communication and english,Text in English,2550-7958,NA
idosr journal of humanities and social sciences,Text in English,2550-7966,NA
idosr journal of scientific research,Text in English,2550-794X,NA
ilorin journal of computer science and information technology,Text in English,2550-7214,NA
international journal for psychotherapy in africa,Text in English,2550-7257,2550-7249
international journal of advanced modelling and analysis in engineering,Text in English,2550-7206,NA
international journal of advances in civil and infrastructure engineering,Text in English,2550-7192,NA
international journal of advances in engineering materials and processes,Text in English,2550-7230,NA
international journal of applied geophysics and computational fluid mechanics,Text in English,2550-7222,NA
journal of epizootiology and animal health in west africa,Text in English,2550-7990,NA
lafia journal of economics and management sciences,Text in English,2550-732X,NA
medpulse international journal of anatomy,Text in English,2550-7621,NA
medpulse international journal of ayurveda,Text in English,2550-7656,NA
medpulse international journal of biochemistry,Text in English,2550-763X,NA
medpulse international journal of medicine,Text in English,2550-7583,NA
medpulse international journal of surgery,Text in English,2550-7591,NA
medpulse international journal of microbiology,Text in English,2550-7648,NA
medpulse international journal of ophthalmology,Text in English,2550-7575,NA
medpulse international journal of pathology,Text in English,2550-7605,NA
medpulse international journal of pharmacology,Text in English,2550-7567,NA
medpulse international journal of physiology,Text in English,2550-7613,NA
nigerian journal of space research,Text in English,2550-7893,NA
plasu journal of communication studies,Text in English,2550-7389,NA
pyrex journal of business and finance management research,Text in English,2550-7877,NA
pyrex journal of educational research and review,Text in English,2550-7885,NA
sau journal of management and social sciences,Text in English,2550-7303,NA
world journal of finance and investment research,Text in English,2550-7125,NA
nuhu bamalli polytechnic zaria multidisciplinary journal,Text in English,2545-5370,NA
preorc journal of arts and humanities,Text in English,2545-532X,NA
research journal of mass communication and information technology,Text in English,2695-2475,2545-529X
international journal of advances in medical sciences and biotechnology,Text in English,null,NA
international journal of management sciences,Text in English,null,NA
international journal of wildlife and endangered species conservation,Text in English,null,NA
information impact,Text in English,2141-4297,2360-994X
frontiers of agriculture and food technology,Text in English,7295-2849,NA
nigerian journal of technology,Text in English,0331-8443,2467-8821
basic research journal of agricultural science and review,Text in English,2315-6880,NA
basic research journal of business management and accounts,Text in English,2315-6899,NA
basic research journal of education research and review,Text in English,2315-6872,NA
journal of research in education and society,Text in English,2141-6753,NA
african journal of food science and technology,Text in English,2141-5455,NA
journal of research in international business and management,Text in English,2251-0028,NA
international research journal of engineering science technology and innovation,Text in English,2315-5663,NA
international research journal of microbiology,Text in English,2141-5463,NA
international research journal of plant science,Text in English,2141-5447,NA
journal of research in environmental science and toxicology,Text in English,2315-5698,NA
journal of research in nursing and midwifery,Text in English,2315-568X,NA
advances in agriculture and agricultural sciences,Text in English,2756-326X,NA
advances in aquaculture and fisheries management,Text in English,2756-3278,NA
advances in food science and technology,Text in English,2756-3286,NA
global journal of food and agribusiness management,Text in English,2756-343X,NA
global journal of food and agricultural sciences,Text in English,2756-3448,NA
global journal of plant and soil sciences,Text in English,2756-3626,NA
international journal of agricultural extension and rural development,Text in English,2756-3642,NA
international journal of animal breeding and genetics,Text in English,2756-3650,NA
international journal of enology and viticulture,Text in English,2756-3685,NA
international journal of food safety and public health,Text in English,2756-3693,NA
international journal of horticulture and floriculture,Text in English,2756-3790,NA
international journal of irrigation and water management,Text in English,2756-3804,NA
international journal of manures and fertilizers,Text in English,2756-3863,NA
international journal of plant breeding and genetics,Text in English,2756-3847,NA
advanced journal of environmental science and technology,Text in English,2756-3251,NA
advanced journal of microbiology research,Text in English,2736-1756,NA
african journal of botany,Text in English,2756-3294,NA
african journal of ecology and ecosystems,Text in English,2756-3367,NA
african journal of immunology research,Text in English,2756-3375,NA
african journal of parasitology research,Text in English,2756-3391,NA
african journal of virology research,Text in English,2756-3413,NA
international journal of bacteriology and mycology,Text in English,2756-3669,NA
international journal of histology and cytology,Text in English,2756-3707,NA
international journal of nematology and entomology,Text in English,2756-3839,NA
international journal of plant and animal sciences,Text in English,2756-388X,NA
african journal of aids and hiv research,Text in English,2736-1748,NA
african journal of dentistry,Text in English,2756-3421,NA
african journal of infectious diseases research,Text in English,2756-3340,NA
african journal of malaria and tropical diseases,Text in English,2736-173X,NA
african journal of medical case reports,Text in English,2756-3316,NA
african journal of medicine and surgery,Text in English,2756-3324,NA
african journal of nursing and midwifery,Text in English,2756-3332,NA
international journal of medical advances and discoveries,Text in English,2756-3812,NA
international journal of medical sociology and anthropology,Text in English,2756-3820,NA
international journal of obstetrics and gynecology,Text in English,2736-1594,NA
international journal of urology and nephrology,Text in English,2756-3855,NA
international journal of veterinary medicine and animal health,Text in English,2756-3871,NA
international journal of law and legal studies,Text in English,2736-1608,NA
african journal of estate and property management,Text in English,2756-3308,NA
african journal of gender and women studies,Text in English,2736-1578,NA
african journal of geography and regional planning,Text in English,2736-1586,NA
african journal of library and information science,Text in English,2756-3383,NA
african journal of philosophy and religious studies,Text in English,2756-3405,NA
global journal of business management,Text in English,2736-1721,NA
global journal of sociology and anthropology,Text in English,2756-3456,NA
international journal of accounting auditing and taxation,Text in English,2756-3634,NA
international journal of banking economics and finance,Text in English,2756-3677,NA
global advanced research journal of agricultural science,Text in English,2315-5094,NA
global advanced research journal of environmental science and toxicology,Text in English,2315-5140,NA
global advanced research journal of medicine and medical sciences,Text in English,2315-5159,NA
global advanced research journal of microbiology,Text in English,2315-5116,NA
greener journal of agricultural science,Text in English,2276-7770,NA
greener journal of agronomy forestry and horticulture,Text in English,2354-2306,NA
greener journal of biological science,Text in English,2276-7762,NA
greener journal of biomedical and health sciences,Text in English,2672-4529,NA
greener journal of business and management studies,Text in English,2276-7827,NA
greener journal of economics and accountancy,Text in English,2354-2357,NA
greener journal of education research,Text in English,2276-7789,NA
greener journal of epidemiology and public health,Text in English,2354-2381,NA
greener journal of library information and archival sciences,Text in English,2672-4472,NA
greener journal of medicinal plant research,Text in English,2672-4480,NA
greener journal of medical science,Text in English,2276-7797,NA
greener journal of physical science,Text in English,2276-7851,NA
greener journal of plant breeding and crop science,Text in English,2354-2292,NA
greener journal of psychology and counselling,Text in English,2672-4502,NA
greener journal of social sciences,Text in English,2276-7800,NA
greener journal of science engineering and technological research,Text in English,2276-7835,NA
international and multidisciplinary journal of global justice,Text in English,2672-4464,NA
e3 journal of medical research,Text in English,2276-9900,NA
e3 journal of business management and economics,Text in English,2141-7482,NA
direct research journal of biology and biotechnology,Text in English,2734-2158,NA
direct research journal of education and vocational studies,Text in English,2734-2174,NA
direct research journal of public health and environmental technology,Text in English,2734-2182,NA
