title;research_area;country;issn;issn2
direct research journal of veterinary medicine and animal science;veterinary science;nigeria;2734-2166;NA
directory of development and training institutes in africa;education;senegal;null;NA
discourse journal of agriculture and food science;agriculture - crop production and soil;nigeria;2346-7002;NA
discourse journal of educational research;education;nigeria;2346-7045;NA
discovery and innovation;sciences: comprehensive works;kenya;1015-079X;NA
ditsong national museum of natural history annals;sciences: comprehensive works;south africa;2220-4563;NA
dokita;medical sciences;nigeria;0046-0508;NA
durban natural science museum novitates;biology - zoology;south africa;null;2522-2554
dynamic journal of animal science and technology;agriculture - poultry and livestock;nigeria;2488-9784;NA
dynamic journal of pure and applied microbiology;biology - microbiology;nigeria;2536-6858;NA
dynamica;business and economics;south africa;0250-0027;NA
e ti;computers;morocco;1114-8802;NA
e3 journal of agricultural research and development;agriculture;nigeria;2276-9897;NA
e3 journal of biotechnology and pharmaceutical research;pharmacy and pharmacology biology - biotechnology;nigeria;2141-7474;NA
e3 journal of business management and economics;business and economics - management;nigeria;2141-7482;NA
e3 journal of environmental research and management;environmental studies;nigeria;2141-7466;NA
e3 journal of medical research;medical sciences;nigeria;2276-9900;NA
e3 journal of scientific research;sciences: comprehensive works;nigeria;2276-9919;NA
eacrotanal studies documents;linguistics literature;tanzania united republic of;null;NA
eanhs bulletin;environmental studies biology conservation earth sciences - geology;kenya;0374-7387;NA
east africa journal;history - history of africa;tanzania united republic of;0012-8309;NA
east african agricultural and forestry journal;agriculture forests and forestry;south africa;null;2313-450X
east african journal of applied health monitoring and evaluation;public health and safety;tanzania united republic of;2591-6769;NA
east african journal of biophysical and computational sciences;sciences: comprehensive works;ethiopia;2789-3618;2789-360X
east african journal of health and biomedical sciences;medical sciences;ethiopia;2519-917X;NA
east african journal of human rights and democracy;political science - civil rights;kenya;1682-900X;1817-4264
east african journal of peace and human rights;law political science - civil rights;uganda;1021-8858;NA
east african journal of public health;public health and safety;tanzania united republic of;0856-8960;NA
east african journal of research;education;tanzania united republic of;1821-9551;NA
east african journal of sciences;sciences: comprehensive works;ethiopia;1992-0407;1993-8195
east african journal of social sciences and humanities;humanities: comprehensive works social sciences: comprehensive works;ethiopia;2521-2192;NA
east african journal of veterinary and animal sciences;veterinary science;ethiopia;2616-8804;NA
east african studies;social sciences: comprehensive works;tanzania united republic of;0424-0928;NA
east and central african journal of pharmaceutical sciences;pharmacy and pharmacology;kenya;1026-552X;NA
east and central african journal of surgery;medical sciences - surgery;zambia;1024-297X;NA
eastern africa law review;law;tanzania united republic of;0012-8678;NA
eastern africa social science research review;social sciences: comprehensive works;ethiopia;1027-1775;1684-4173
eastern mediterranean health journal;public health and safety;egypt arab republic of egypt;1020-3397;1687-1634
eastern mediterranean region drugs digest;pharmacy and pharmacology;egypt arab republic of egypt;null;NA
economic policy research centre research series;business and economics;uganda;2411-4499;NA
economie et socialisme;business and economics - economic situation and conditions business and economics - economic systems and theories economic history;morocco;0851-0458;NA
ecos do chiveve;sciences: comprehensive works;mozambique;2521-2109;NA
ecquid novi african journalism studies;journalism;south africa;1942-0773;NA
ecwa theological seminary journal;religions and theology;nigeria;1117-1073;NA
edge port elizabeth;architecture;south africa;null;NA
editors forum;publishing and book trade;nigeria;0794-5655;NA
edo journal of counselling;psychology;nigeria;2006-7593;NA
education and manpower development;education - abstracting bibliographies statistics;south africa;null;NA
education and science journal of policy review and curriculum development;education;nigeria;2315-8425;2354-1660
education research journal;education;ghana;2026-6332;NA
educational research;education;nigeria;2141-5161;NA
educational research and reviews;education;nigeria;1990-3839;NA
educational research for social change;education;south africa;2221-4070;NA
educational research review;education;nigeria;null;NA
educational research working papers;education;kenya;null;NA
egerton journal;humanities: comprehensive works sciences: comprehensive works;kenya;1021-1128;NA
egypte monde arabe;business and economics law political science social sciences: comprehensive works;egypt arab republic of egypt;1110-5097;2090-7273
egyptian academic journal of biological sciences a entomology;biology;egypt arab republic of egypt;1687-8809;2090-0813
egyptian academic journal of biological sciences b zoology;biology - zoology;egypt arab republic of egypt;2090-0759;2090-0821
egyptian academic journal of biological sciences c physiology and molecular biology;biology - microbiology biology - physiology;egypt arab republic of egypt;2090-0767;2090-083X
egyptian academic journal of biological sciences d histology and histochemistry;biology - cytology and histology;egypt arab republic of egypt;2090-0775;2090-0848
egyptian academic journal of biological sciences e medical entomology and parasitology;medical sciences;egypt arab republic of egypt;2090-0783;2090-0856
egyptian academic journal of biological sciences f toxicology and pest control;agriculture - crop production and soil chemistry;egypt arab republic of egypt;2090-0791;2090-0864
egyptian academic journal of biological sciences g microbiology;biology - microbiology;egypt arab republic of egypt;2090-0872;2090-0880
egyptian academic journal of biological sciences h botany;biology - botany;egypt arab republic of egypt;2090-3812;2090-3820
egyptian computer journal;computers;egypt arab republic of egypt;0377-7154;NA
egyptian computer science journal;computers;egypt arab republic of egypt;1110-2586;NA
egyptian dental journal;medical sciences - dentistry;egypt arab republic of egypt;0070-9484;2090-2360
egyptian dermatology online journal;medical sciences - dermatology and venereology;egypt arab republic of egypt;1687-3831;NA
egyptian german society of zoology journal a comparative zoology;biology - zoology;egypt arab republic of egypt;1110-5321;NA
egyptian german society of zoology journal c histology and histochemistry;biology - zoology;egypt arab republic of egypt;1110-5348;NA
egyptian german society of zoology journal d invertebrate zoology and parasitology;biology - zoology;egypt arab republic of egypt;1110-5356;NA
egyptian german society of zoology journal e entomology;biology - zoology;egypt arab republic of egypt;1110-5364;NA
egyptian journal of agronomy;agriculture;egypt arab republic of egypt;0379-3575;NA
egyptian journal of anaesthesia;medical sciences - anaesthesiology;egypt arab republic of egypt;1110-1849;1687-1804
egyptian journal of animal production;agriculture - poultry and livestock;egypt arab republic of egypt;0302-4520;2735-3028
egyptian journal of applied agriculture research;agriculture;egypt arab republic of egypt;1687-837X;NA
egyptian journal of applied endocrinology;medical sciences - endocrinology;egypt arab republic of egypt;1110-7812;NA
egyptian journal of applied science;agriculture;egypt arab republic of egypt;1110-1571;NA
egyptian journal of aquatic biology and fisheries;biology fish and fisheries;egypt arab republic of egypt;1110-6131;2536-9814
egyptian journal of archaeological and restoration studies;archaeology;egypt arab republic of egypt;2090-4932;2090-4940
egyptian journal of basic and clinical pharmacology;pharmacy and pharmacology;egypt arab republic of egypt;2090-7222;2090-7230
egyptian journal of biological pest control;agriculture - crop production and soil biology - biochemistry social services and welfare;egypt arab republic of egypt;1110-1768;2536-9342
egyptian journal of biology;biology;egypt arab republic of egypt;1110-6859;NA
egyptian journal of biomedical sciences;medical sciences - experimental medicine laboratory technique;egypt arab republic of egypt;1110-6379;NA
egyptian journal of biophysics;biology - biophysics;egypt arab republic of egypt;1110-6565;NA
egyptian journal of biophysics biomedical engineering;medical sciences - experimental medicine laboratory technique;egypt arab republic of egypt;1110-8525;NA
egyptian journal of biotechnology;biology - biotechnology;egypt arab republic of egypt;1110-6093;NA
egyptian journal of botany;biology - botany;egypt arab republic of egypt;0375-9237;NA
egyptian journal of chemistry;chemistry;egypt arab republic of egypt;0449-2285;NA
egyptian journal of comparative pathology and clinical pathology;biology medical sciences;egypt arab republic of egypt;1110-7537;NA
egyptian journal of dairy science;agriculture - dairying and dairy products;egypt arab republic of egypt;0378-2700;2090-2492
egyptian journal of dermatology and andrology;medical sciences - dermatology and venereology;egypt arab republic of egypt;1110-7650;NA
egyptian journal of desert research;agriculture;egypt arab republic of egypt;1687-8043;NA
egyptian journal of ear nose throat and allied sciences;medical sciences - otorhinolaryngology;egypt arab republic of egypt;2090-0740;2090-3405
egyptian journal of food science;food and food industries;egypt arab republic of egypt;1110-0192;NA
egyptian journal of forensic sciences;medical sciences - forensic sciences;egypt arab republic of egypt;2090-536X;2090-5939
egyptian journal of genetics and cytology;biology - cytology and histology biology - genetics;egypt arab republic of egypt;0046-161X;NA
egyptian journal of geology;earth sciences - geology;egypt arab republic of egypt;null;NA
egyptian journal of health care;public health and safety;egypt arab republic of egypt;1687-9546;NA
egyptian journal of horticulture;gardening and horticulture;egypt arab republic of egypt;1110-0206;2357-0903
egyptian journal of immunology;medical sciences - allergology and immunology;egypt arab republic of egypt;1110-4902;2090-2506
egyptian journal of medical laboratory sciences;medical sciences - experimental medicine laboratory technique;egypt arab republic of egypt;1110-5593;NA
egyptian journal of microbiology;biology - microbiology;egypt arab republic of egypt;0022-2704;NA
egyptian journal of natural history;environmental studies biology;egypt arab republic of egypt;1110-6867;NA
egyptian journal of nutrition and feed;nutrition and dietetics;egypt arab republic of egypt;1110-6360;NA
egyptian journal of nutrition and health;nutrition and dietetics;egypt arab republic of egypt;1687-7950;NA
egyptian journal of occupational medicine;medical sciences occupational health and safety;egypt arab republic of egypt;1110-1881;NA
egyptian journal of pediatric allergy and immunology;medical sciences - pediatrics;egypt arab republic of egypt;1687-1642;2314-8934
egyptian journal of petroleum;petroleum and gas;egypt arab republic of egypt;1110-0621;2090-2468
egyptian journal of pharmaceutical sciences;pharmacy and pharmacology;egypt arab republic of egypt;0301-5068;NA
egyptian journal of physics;physics;egypt arab republic of egypt;1110-0214;NA
egyptian journal of physiological science;biology - physiology;egypt arab republic of egypt;0301-8660;NA
egyptian journal of phytopathology;biology - botany;egypt arab republic of egypt;1110-0230;2090-2522
egyptian journal of plastic and reconstructive surgery;medical sciences - surgery;egypt arab republic of egypt;1110-0044;NA
egyptian journal of pure and applied sciences;sciences: comprehensive works;egypt arab republic of egypt;2090-231X;NA
egyptian journal of rabbit science;agriculture - poultry and livestock biology - zoology;egypt arab republic of egypt;1110-2594;NA
egyptian journal of radiation sciences applications;medical sciences - radiology and nuclear medicine physics - nuclear physics;egypt arab republic of egypt;1110-0303;2314-8527
egyptian journal of remote sensing and space sciences;environmental studies earth sciences;egypt arab republic of egypt;1110-9823;2090-2476
egyptian journal of schistosomiasis and infectious and endemic diseases;medical sciences - communicable diseases;egypt arab republic of egypt;1110-7278;NA
egyptian journal of sheep and goats sciences;agriculture - poultry and livestock;egypt arab republic of egypt;2090-0368;2090-0376
egyptian journal of soil science;agriculture - crop production and soil;egypt arab republic of egypt;0302-6701;NA
egyptian journal of solids;chemistry physics;egypt arab republic of egypt;1012-5566;NA
egyptian journal of textile polymer science technology;engineering - chemical engineering textile industries and fabrics;egypt arab republic of egypt;1110-600X;NA
egyptian journal of tourism and hospitality;travel and tourism;south africa;1997-163X;1998-3301
egyptian journal of urology;medical sciences - urology and nephrology;egypt arab republic of egypt;1110-5712;NA
egyptian journal of veterinary science;veterinary science;egypt arab republic of egypt;1110-0222;NA
egyptian journal of wildlife and natural resources;conservation forests and forestry;egypt arab republic of egypt;1110-113X;NA
egyptian journal of zoology;biology - zoology;egypt arab republic of egypt;1110-6344;NA
egyptian medical association journal;medical sciences;egypt arab republic of egypt;0013-2411;NA
egyptian mineralogist;earth sciences - geology mines and mining industry;egypt arab republic of egypt;1110-1466;NA
egyptian ophthalmological society journal;medical sciences - ophthalmology and optometry;egypt arab republic of egypt;2090-0686;2314-6648
egyptian orthodontic journal;medical sciences - dentistry;egypt arab republic of egypt;1110-435X;2812-5258
egyptian poultry science journal;agriculture - poultry and livestock;egypt arab republic of egypt;1110-5623;2090-0570
egyptian public health association journal print;public health and safety;egypt arab republic of egypt;0013-2446;NA
egyptian society of endocrinology and metabolism journal;medical sciences - endocrinology;egypt arab republic of egypt;0070-9506;NA
egyptian society of endocrinology metabolism and diabetes journal;medical sciences - endocrinology;egypt arab republic of egypt;1110-1245;NA
egyptian society of engineers journal;engineering;egypt arab republic of egypt;1110-1253;NA
egyptian society of obstetrics gynecology journal;medical sciences - obstetrics and gynecology;egypt arab republic of egypt;0258-3216;NA
egyptian society of parasitology journal;medical sciences - communicable diseases;egypt arab republic of egypt;1110-0583;2090-2549
egyptian society of toxicology journal;environmental studies - toxicology and environmental safety;egypt arab republic of egypt;1110-127X;NA
egyptian society of ultrasonics in medicine journal;medical sciences - radiology and nuclear medicine;egypt arab republic of egypt;1110-7669;NA
egyptian spine journal;medical sciences - orthopedics and traumatology medical sciences - chiropractic homeopathy osteopathy;egypt arab republic of egypt;2314-8969;2314-8950
egyptian veterinary medical association journal;veterinary science;egypt arab republic of egypt;1110-1288;NA
egyptian womens dermatological society journal print;medical sciences - dermatology and venereology;egypt arab republic of egypt;1687-1537;NA
ejournal of humanities art and social sciences;humanities: comprehensive works social sciences: comprehensive works;ghana;2720-7722;NA
ejournal of religious and theological studies;religions and theology;ghana;2458-7338;NA
ekpoma journal of theatre and media arts;theater;nigeria;2006-1838;2449-1179
elca scientific journal;medical sciences - obstetrics and gynecology women's health;egypt arab republic of egypt;1687-8388;NA
elite research journals of clinical pharmacy medicine and medical sciences;medical sciences;nigeria;2384-8014;NA
elminia medical bulletin;medical sciences;egypt arab republic of egypt;1110-2446;NA
energy management news;energy;south africa;1561-333X;NA
engineering journal of the military technical college;engineering;egypt arab republic of egypt;2357-0954;2357-0946
engineering research journal;engineering;egypt arab republic of egypt;1110-5615;NA
english in africa;literary and political reviews;south africa;0376-8902;2071-7474
enp engineering science journal;engineering;algeria;2716-912X;2773-4293
entomological society of egypt bulletin economic series;biology - entomology;egypt arab republic of egypt;1110-0885;NA
entomological society of southern africa proceedings of the congress;biology - entomology;south africa;1010-2566;NA
environmental technology engineering journal;environmental studies;nigeria;2214-725X;NA
environnement africain;environmental studies;senegal;0850-8518;NA
ergonomics sa;occupational health and safety;south africa;1010-2728;NA
esarbica journal;library and information sciences;south africa;2220-6442;NA
ethiope research;law social sciences: comprehensive works;nigeria;1595-6180;NA
ethiopian e journal for research and innovation foresight;education;ethiopia;2042-6356;NA
ethiopian journal of african studies;history - history of africa;eritrea;null;NA
ethiopian journal of agricultural sciences;agriculture;ethiopia;0257-2605;2415-2382
ethiopian journal of biological sciences;biology;ethiopia;1819-8678;NA
ethiopian journal of business management and economics;business and economics;ethiopia;2520-4971;NA
ethiopian journal of crop science;agriculture - crop production and soil;ethiopia;2072-8506;NA
ethiopian journal of education;education;ethiopia;0425-4414;2523-0980
ethiopian journal of education and sciences;education sciences: comprehensive works;ethiopia;1998-8907;NA
ethiopian journal of environmental studies and management;environmental studies;ethiopia;1998-0507;NA
ethiopian journal of health sciences;medical sciences;ethiopia;1029-1857;2413-7170
ethiopian journal of laboratory medicine;medical sciences - experimental medicine laboratory technique;ethiopia;2411-054X;NA
ethiopian journal of pediatrics and child health;medical sciences - pediatrics;ethiopia;2413-2640;2519-0334
ethiopian journal of public health and nutrition;public health and safety nutrition and dietetics;ethiopia;2523-1170;NA
ethiopian journal of social sciences and language studies;linguistics sociology;ethiopia;2412-5180;2408-9532
ethiopian journal of the social sciences and humanities;humanities: comprehensive works social sciences: comprehensive works;ethiopia;1810-4487;2520-582X
ethiopian journal of veterinary science and animal production;agriculture - poultry and livestock veterinary science;ethiopia;2616-4647;NA
ethiopian medical journal;medical sciences;ethiopia;0014-1755;NA
ethiopian pharmaceutical journal;pharmacy and pharmacology;ethiopia;1029-5933;NA
ethiopian renaissance journal of social sciences and the humanities;humanities: comprehensive works social sciences: comprehensive works;ethiopia;2409-6377;2409-6385
ethiopian veterinary journal;veterinary science;ethiopia;1683-6324;2221-5034
etude de la population africaine;population studies;south africa;0850-5780;2308-7854
etudes et travaux darcheologie marocaine;archaeology;morocco;0071-2027;NA
etudes germano africaines;linguistics;senegal;0850-640X;NA
etudes maliennes;anthropology history - history of africa;mali;0378-2034;NA
etudes nigeriennes;anthropology;niger;0373-6296;NA
eubios journal of asian and international bioethics;biology philosophy;namibia;2350-3106;NA
european journal of scientific research;sciences: comprehensive works;seychelles;1450-216X;NA
ewash ti;environmental studies water resources;morocco;2509-1069;NA
ewemen journal of analytical and environmental chemistry;chemistry - analytical chemistry;nigeria;2488-913X;NA
ewemen journal of arts and sociology;art sociology;nigeria;2579-0978;NA
ewemen journal of chemical kinetics;chemistry;nigeria;2504-8635;NA
ewemen journal of development technology and management;social sciences: comprehensive works;nigeria;2504-8651;NA
ewemen journal of epidemiology and clnical medicine;medical sciences;nigeria;2488-9180;NA
ewemen journal of folklore medicine;alternative medicine;nigeria;2488-9156;NA
ewemen journal of herbal chemistry and pharmacology research;medical sciences alternative medicine;nigeria;2488-9164;NA
ewemen journal of microbial research;biology - microbiology;nigeria;2488-9148;NA
ewemen journal of natural product research;chemistry biology - biochemistry;nigeria;2504-8643;NA
ewemen journal of petrochemical research and innovation;petroleum and gas;nigeria;2579-096X;NA
ewemen journal of pharmaceutics;pharmacy and pharmacology;nigeria;2504-8678;NA
ewemen journal of plant genetics and chemotaxonomy;biology - genetics;nigeria;2488-9172;NA
ewemen journal of synthetic organic chemistry;chemistry - organic chemistry;nigeria;2504-866X;NA
faculte de medecine doran journal;medical sciences;algeria;2602-6511;2571-9874
family law;law - family and matrimonial law;namibia;2542-5242;NA
fasette;education;namibia;0256-5994;NA
fasihi yetu;children and youth (for);kenya;2411-1392;NA
fayoum journal of agricultural research and development;agriculture;egypt arab republic of egypt;1110-7790;NA
fdp law series;law;nigeria;null;NA
federal university of technology minna inaugural lectures;education - higher education;nigeria;2550-7087;NA
federal university of technology minna public lecture series;education - higher education;nigeria;2550-7060;NA
federal university of technology minna school of information and communication technology conference proceedings;communications library and information sciences computers - information science and information theory;nigeria;2545-5192;NA
fire journal of medical and pharmaceutical sciences;medical sciences pharmacy and pharmacology;south africa;2409-4722;NA
flora of southern africa;biology - botany;south africa;null;NA
flore du cameroun;biology - botany;cameroon;0071-5875;NA
flowering plants of africa;biology - botany;south africa;0015-4504;NA
focus;college and alumni;south africa;null;NA
focus on political repression in south africa;political science - civil rights;south africa;0960-572X;NA
folio;architecture;south africa;2520-3681;NA
fort hare papers;business and economics humanities: comprehensive works sciences: comprehensive works;south africa;0015-8054;NA
fountain university journal of management and social sciences;business and economics - management social sciences: comprehensive works;nigeria;2408-6959;NA
fourah bay studies in language and literature;linguistics literature;sierra leone;null;NA
francais au nigeria;education - teaching methods and curriculum linguistics;nigeria;0015-9387;NA
frontiers of agriculture and food technology;agriculture food and food industries;nigeria;7295-2849;NA
fudma journal of arts management and social sciences;social sciences: comprehensive works;nigeria;2408-6967;NA
funai journal of humanities and social sciences;humanities: comprehensive works social sciences: comprehensive works;nigeria;2476-7883;2476-7891
funai journal of science and technology;sciences: comprehensive works;nigeria;2504-9534;NA
fundamina;law;south africa;1021-545X;2411-7870
fupre journal of scientific and industrial research;engineering - industrial engineering;nigeria;2579-1184;2579-1192
futa journal of research in sciences;sciences: comprehensive works;nigeria;2489-0413;NA
futo journal series;sciences: comprehensive works;nigeria;2476-8456;NA
fuw journal of agriculture and life sciences;agriculture;nigeria;2545-5141;2545-515X
gadaa journal;history - history of africa humanities: comprehensive works;ethiopia;2616-3977;2616-3985
galaa medical journal;medical sciences;egypt arab republic of egypt;1687-8116;NA
gamiat alzagazig magallat albuhuth altigariyyat;business and economics;egypt arab republic of egypt;1110-7731;NA
gender behaviour;psychology;nigeria;1596-9231;1117-7322
gender questions;sociology;south africa;2309-9704;2412-8457
general education journal;education - higher education religions and theology;tanzania united republic of;1821-9616;NA
general health and medical sciences;medical sciences;kenya;2409-9856;NA
general scientific researches;sciences: comprehensive works;kenya;2409-9872;NA
general union of arab archaeologists journal;archaeology;egypt arab republic of egypt;2536-9830;2536-9822
genetics and biodiversity journal;biology - genetics;algeria;2602-5582;2588-185X
genetics newsletter;biology - genetics;south africa;0259-0301;NA
geological survey of egypt annals;earth sciences - geology;egypt arab republic of egypt;1110-0435;NA
geological survey of namibia memoirs;earth sciences - geology;namibia;1018-4325;2026-8262
geotechnique;earth sciences - geology engineering - civil engineering;south africa;1021-8637;NA
ghana international journal of mental health;medical sciences - psychiatry and neurology;ghana;null;2579-034X
ghana journal of development studies;sciences: comprehensive works;ghana;0855-6768;NA
ghana journal of education cape coast;education;ghana;2579-0382;NA
ghana journal of higher education;education - higher education;ghana;2343-6948;NA
ghana journal of horticulture;gardening and horticulture;ghana;0855-6350;NA
ghana journal of literacy and adult education;education;ghana;0855-0875;NA
ghana journal of science;sciences: comprehensive works;ghana;0016-9544;NA
ghana journal of technology;technology: comprehensive works;ghana;2467-8910;2616-1486
ghana medical journal;medical sciences;ghana;0016-9560;2616-163X
ghana mining journal;mines and mining industry;ghana;0855-210X;2616-1478
ghana population studies;population studies;ghana;0855-1308;NA
ghana science association journal;sciences: comprehensive works technology: comprehensive works;ghana;0855-3823;NA
ghana selected economic issues;business and economics;ghana;0855-7144;NA
ghana social science journal;social sciences: comprehensive works;ghana;0855-4730;2590-9673
ghanaian journal of economics;business and economics;south africa;2309-8945;NA
global advanced research journal of agricultural science;agriculture;nigeria;2315-5094;NA
global advanced research journal of educational research and review;education;nigeria;2315-5132;NA
global advanced research journal of engineering technology and innovation;engineering;nigeria;2315-5124;NA
global advanced research journal of environmental science and toxicology;environmental studies - toxicology and environmental safety;nigeria;2315-5140;NA
global advanced research journal of food science and technology;food and food industries;nigeria;2315-5078;NA
global advanced research journal of geography and regional planning;geography;nigeria;2315-5108;NA
global advanced research journal of history political science and international relations;history political science;nigeria;2315-506X;NA
global advanced research journal of management and business studies;business and economics - management;nigeria;2315-5086;NA
global advanced research journal of medicine and medical sciences;medical sciences;nigeria;2315-5159;NA
global advanced research journal of microbiology;biology - microbiology;nigeria;2315-5116;NA
global approaches to extension practice a journal of agricultural extension;agriculture;nigeria;0794-1005;NA
global cardiology science practice;medical sciences - cardiovascular diseases;egypt arab republic of egypt;2305-7823;NA
global educational research journal;education;nigeria;2360-7963;NA
global health innovation;public health and safety;south africa;2617-1155;NA
global journal of agricultural sciences;agriculture;nigeria;1596-2903;NA
global journal of business management;business and economics - management;nigeria;2736-1721;NA
global journal of educational research;education;nigeria;1596-6224;NA
global journal of engineering research;engineering;nigeria;1596-292X;NA
global journal of environmental sciences;environmental studies;nigeria;1596-6194;NA
global journal of environmental sciences and technology;environmental studies;nigeria;2360-7955;NA
global journal of food and agribusiness management;food and food industries;nigeria;2756-343X;NA
global journal of food and agricultural sciences;agriculture;nigeria;2756-3448;NA
global journal of geological sciences;earth sciences - geology;nigeria;1596-6798;NA
global journal of humanities;humanities: comprehensive works;nigeria;1596-6232;NA
global journal of mathematical sciences;mathematics;nigeria;1596-6208;NA
global journal of medical research;medical sciences;nigeria;2467-8783;NA
global journal of medical sciences;medical sciences;nigeria;1596-2911;NA
global journal of plant and soil sciences;agriculture - crop production and soil biology - botany;nigeria;2756-3626;NA
global journal of pure and applied sciences;sciences: comprehensive works;nigeria;1118-0579;NA
global journal of social sciences;social sciences: comprehensive works;nigeria;1596-6216;NA
global journal of sociology and anthropology;sociology;nigeria;2756-3456;NA
global media journal african edition;communications;south africa;2073-2740;NA
global media journal arabian edition;communications;egypt arab republic of egypt;null;NA
global research journal of geography;geography;nigeria;2360-8005;NA
global research journal of public health and epidemiology;public health and safety;nigeria;2360-7920;NA
global science journal;sciences: comprehensive works;nigeria;0795-6770;NA
good company;children and youth (for);south africa;null;NA
good shepherd;religions and theology - roman catholic;kenya;2520-355X;NA
grace and truth;religions and theology - roman catholic;south africa;2304-0084;NA
greener journal of agricultural science;agriculture;nigeria;2276-7770;NA
greener journal of agronomy forestry and horticulture;agriculture;nigeria;2354-2306;NA
greener journal of arts and humanities;humanities: comprehensive works;nigeria;2276-7819;NA
greener journal of biological science;biology;nigeria;2276-7762;NA
greener journal of biomedical and health sciences;biology - bioengineering;nigeria;2672-4529;NA
greener journal of business and management studies;business and economics - management;nigeria;2276-7827;NA
greener journal of cell and animal biology;biology - cytology and histology;nigeria;2354-2322;NA
greener journal of economics and accountancy;business and economics - accounting;nigeria;2354-2357;NA
greener journal of education and training studies;education;nigeria;2354-225X;NA
greener journal of education research;education;nigeria;2276-7789;NA
greener journal of environment management and public safety;environmental studies public health and safety;nigeria;2354-2276;NA
greener journal of epidemiology and public health;public health and safety;nigeria;2354-2381;NA
greener journal of geology and earth sciences;earth sciences;nigeria;2354-2268;NA
greener journal of human physiology and anatomy;biology - physiology medical sciences;nigeria;2354-2314;NA
greener journal of internet information and communication system;computers - internet;nigeria;2354-2373;NA
greener journal of library information and archival sciences;library and information sciences;nigeria;2672-4472;NA
greener journal of medical science;medical sciences;nigeria;2276-7797;NA
greener journal of medicinal plant research;alternative medicine;nigeria;2672-4480;NA
greener journal of microbiology and antimicrobials;biology - microbiology;nigeria;2354-2284;NA
greener journal of oceanography and marine science;earth sciences - oceanography;nigeria;2354-2349;NA
greener journal of petroleum and gas exploration;petroleum and gas;nigeria;2354-2330;NA
greener journal of physical science;physics;nigeria;2276-7851;NA
greener journal of plant breeding and crop science;agriculture - crop production and soil;nigeria;2354-2292;NA
greener journal of psychology and counselling;psychology;nigeria;2672-4502;NA
greener journal of science engineering and technological research;engineering sciences: comprehensive works;nigeria;2276-7835;NA
greener journal of social sciences;social sciences: comprehensive works;nigeria;2276-7800;NA
greener journal of world peace security and development;political science - international relations;nigeria;2354-2365;NA
greenprint;environmental studies;south africa;1817-9355;NA
groupe international detude de la ceramique egyptienne bulletin de liaison;archaeology ceramics glass and pottery;egypt arab republic of egypt;0255-0903;NA
gusau journal of accounting and finance;business and economics - accounting;nigeria;2756-6897;NA
harnessing culture for sustainable development and human security in africa;sociology;nigeria;2408-7009;NA
hbrc journal;housing and urban planning;egypt arab republic of egypt;1687-4048;2090-9934
health policy and development;public health and safety;uganda;1728-6107;NA
health sa;medical sciences;south africa;1025-9848;2071-9736
health sciences and disease;medical sciences;cameroon;1684-2782;2309-6535
hekima review;political science religions and theology;kenya;1019-6188;2410-0234
helwan university science arts research studies;literature sciences: comprehensive works;egypt arab republic of egypt;1110-1369;NA
herald journal economic and finance;business and economics - banking and finance;nigeria;2350-2223;NA
herald journal of agricultural and food science research;agriculture;nigeria;2350-2193;NA
herald journal of education and general studies;education;nigeria;2350-2177;NA
herald journal of geography and regional planning;geography;nigeria;2350-2185;NA
herald journal of marketing and business management;business and economics - management;nigeria;2350-2207;NA
herald journals of biochemistry and bioinformatics;biology - biochemistry;nigeria;2350-2215;NA
heritage;history - history of africa ethnic interests;nigeria;0794-3415;NA
herstoria;women's interests women's studies;south africa;1024-5057;NA
hervormde teologiese studies;religions and theology;south africa;0259-9422;2072-8050
high institute of public health journal;public health and safety;egypt arab republic of egypt;2357-0601;2357-061X
highland medical research journal;medical sciences;nigeria;1596-2407;NA
highlights in bioscience;biology;egypt arab republic of egypt;2682-4043;NA
himayat almilkiyyat alfikriyyat;law - international law patents trademarks and copyrights;egypt arab republic of egypt;1023-0432;NA
historia;history;south africa;null;2309-8392
historical association of tanzania papers;history - history of africa;tanzania united republic of;0440-9264;NA
historical kan periodical;history - history of africa;egypt arab republic of egypt;2090-0449;NA
historical society of ghana transactions;history;ghana;0855-191X;NA
historical society of nigeria journal;history;nigeria;0018-2540;NA
history in malawi;history - history of africa;malawi;0376-9631;NA
horn of africa journal of business and economics;business and economics;ethiopia;2617-0078;2617-0086
human resource and leadership journal;business and economics - personnel management;kenya;2520-4661;NA
huria;education;tanzania united republic of;0856-6739;NA
iar journal of advances in crop science and technology;agriculture - crop production and soil;kenya;2789-5955;2789-5963
iar journal of agricultural science and food research;agriculture;kenya;2789-5971;2789-598X
iar journal of agriculture research and life sciences;agriculture;kenya;2708-5090;2708-5104
iar journal of anaesthesiology and critical care;medical sciences - anaesthesiology;kenya;2709-1872;2709-1880
iar journal of business management;business and economics - management;kenya;2708-5139;2708-5147
iar journal of clinical medical biochemistry;biology - biochemistry;kenya;2789-5998;2789-6005
iar journal of clinical research;medical sciences;kenya;2789-6056;2789-6064
iar journal of engineering and technology;engineering;kenya;2708-5155;2708-5163
iar journal of entrepreneurship innovation design thinking;business and economics - management;kenya;2709-9520;2709-9539
iar journal of forensic medicine and anatomy;medical sciences - forensic sciences;kenya;2789-6110;2789-6129
iar journal of health care and prevention;medical sciences;kenya;2789-603X;2789-6048
